sweep,noise_model,delta_per_mode,relative_l2_noise,method,mean_relative_l2,aggregate_relative_l2,median_relative_l2,std_relative_l2,stderr_relative_l2,n_samples
extended_grid,critical,0.0003,0.0008607240113594538,oracle_tikhonov,0.015845153153468947,0.01192636962519901,0.015244218421994757,0.0052553011133453,0.00023502421063340833,500
extended_grid,critical,0.0003,0.0008607240113594538,oracle_tsvd,0.014693229597123235,0.011079337165797256,0.013851377009225155,0.00499762123366427,0.00022350041608539337,500
extended_grid,critical,0.0003,0.0008607240113594538,tikhonov_discrepancy,0.01688331713031289,0.012446351641143967,0.015673380698606493,0.006234589471737663,0.0002788193174121984,500
extended_grid,critical,0.0003,0.0008607240113594538,prior_wiener,0.014173698689063027,0.010734013948207072,0.01336925003095888,0.004708797036157996,0.00021058380530197625,500
extended_grid,critical,0.0003,0.0008607240113594538,oracle_spectral_bound,0.008776921763932105,0.0066904399704560205,0.008248616321401635,0.003315569549300191,0.00014827677792727132,500
extended_grid,critical,0.0001,0.00028690800378648463,scnet,0.008224443773249462,0.006235556468022536,0.007820271673566671,0.0026121294432410232,0.00011681798002231213,500
extended_grid,critical,0.0001,0.00028690800378648463,oracle_tikhonov,0.009195027120252284,0.006936740562623167,0.00882112239989079,0.002926672462333269,0.00013088477147307764,500
extended_grid,critical,0.0001,0.00028690800378648463,oracle_tsvd,0.00855198362645505,0.006420475503355592,0.008058342787308923,0.0027659572247378007,0.0001236973675474077,500
extended_grid,critical,0.0001,0.00028690800378648463,tikhonov_discrepancy,0.009694647126116769,0.007194180344657938,0.009067695053755395,0.0034095339738418277,0.0001524789947421063,500
extended_grid,critical,0.0001,0.00028690800378648463,prior_wiener,0.00821566501682948,0.0062262752172946014,0.007804490007475261,0.002609873375841621,0.00011671708562097442,500
extended_grid,critical,0.0001,0.00028690800378648463,oracle_spectral_bound,0.00510978551506484,0.003889041186606445,0.004913258609167465,0.0017754384823618738,7.940002272860421e-05,500
extended_grid,critical,3e-05,8.607240113594485e-05,scnet,0.004521598440146365,0.0034464954234102855,0.0043211454834543445,0.0013865466650658474,6.200825194125736e-05,500
extended_grid,critical,3e-05,8.607240113594485e-05,oracle_tikhonov,0.005059682064742317,0.0038314520443494173,0.00483202907445727,0.001564961952102126,6.998722614202247e-05,500
extended_grid,critical,3e-05,8.607240113594485e-05,oracle_tsvd,0.00480832756638849,0.0036232648416997847,0.004525910861248299,0.001515252829580898,6.776416660083584e-05,500
extended_grid,critical,3e-05,8.607240113594485e-05,tikhonov_discrepancy,0.00528844012342082,0.003952459273008142,0.0049786915269820365,0.0017700595629468515,7.915947013945455e-05,500
extended_grid,critical,3e-05,8.607240113594485e-05,prior_wiener,0.004518168611775295,0.003444075549130219,0.004305691330753449,0.0013856847159432588,6.196970440463226e-05,500
extended_grid,critical,3e-05,8.607240113594485e-05,oracle_spectral_bound,0.0028567596829690554,0.002185797070589412,0.0027235259959178196,0.0009389058810604413,4.198914749050958e-05,500
extended_grid,critical,1e-05,2.8690800378648647e-05,scnet,0.0026053411268556416,0.001987799165265345,0.0024736087688119364,0.0007929546120806027,3.546200831368407e-05,500
extended_grid,critical,1e-05,2.8690800378648647e-05,oracle_tikhonov,0.0029286002336299573,0.0022226034610702433,0.0027590215674861253,0.0008956472535098703,4.005456285418114e-05,500
extended_grid,critical,1e-05,2.8690800378648647e-05,oracle_tsvd,0.002801144359805674,0.0021270593187293924,0.0026390653812061685,0.0008697995596985006,3.8898618845704674e-05,500
extended_grid,critical,1e-05,2.8690800378648647e-05,tikhonov_discrepancy,0.003040785511845638,0.0022825333599797585,0.002871161334200086,0.0009885953032894841,4.421132600784616e-05,500
extended_grid,critical,1e-05,2.8690800378648647e-05,prior_wiener,0.0026033142390253106,0.0019856523513815554,0.0024639392236298512,0.0007932371217813353,3.547464253158689e-05,500
extended_grid,critical,1e-05,2.8690800378648647e-05,oracle_spectral_bound,0.001655420443298575,0.001265352317955523,0.0015571027095795022,0.00053458744898193,2.390747751683592e-05,500
extended_grid,critical,3e-06,8.607240113593455e-06,scnet,0.0014298276856685374,0.001089745285786748,0.0013433025425169348,0.0004330023047346143,1.936445175601353e-05,500
extended_grid,critical,3e-06,8.607240113593455e-06,oracle_tikhonov,0.0016085533204774878,0.0012215544326523162,0.0015212432348562256,0.0004906636804252743,2.1943146870422924e-05,500
